Organisation,Description,Service_cat,Address_1,Address_2,City,Postcode,Email_office,Tel_office,Email_help,Tel_help,Web,Coverage,Forces,Last_update
Amethyst - RASASC,"Amethyst is the Rape & Sexual Abuse Support Centre (RASASC) in North Wales. it offers a confidential service for men, women and children who have been sexually assaulted, either recently or in the past. It also provide specialist support and therapy to partners and family members of those who have been affected by sexual abuse and violence. To speak to someone directly see Live Fera Free Helpline number (managed by Welsh Women's Aid). For refarrals call 01248 670 628 or use online referral form.",SV,"11 Ash Court, Ffordd y Llyn",Parc Menai,Bangor,LL57 4DF,info@rasacymru.org.uk,01248 670 628,info@livefearfreehelpline.wales,0808 80 10 800,https://www.rasawales.org.uk/,Wales,NWP,24/01/2022
Live Fear Free Helpline - Welsh Women's Aid,"Support and advice for victims of Domestic Abuse, Sexual Violence and Violence Against Women. Abuse and violence such as these includes rape and coercive control. Offers 24h support via the Live Fear Free Helpline through telelphone, chat, webchat and email. This is a service funded by the Welsh Government as an all-Wales abuse and violence helpline and managed by Welsh Women's Aid. It acts as a central point of contact for several services/charities operating in this area.",DV,"Welsh Women’s Aid, Violence Against Women Centre of Excellence,","Pendragon House, Caxton Place, Pentwyn",Cardiff,CF23 8XE,info@welshwomensaid.org.uk,02920 541 551,info@livefearfreehelpline.wales,0808 80 10 800,https://www.welshwomensaid.org.uk/,Wales,"DPP, GP, NWP, SWP",24/01/2022
Stepping Stones North Wales,Stepping Stones is a registered charity providing therapeutic services to adults who have been sexually abused as children across the region of North Wales. Referrals and 24/7 support available through the Live Fear Free Helpline. Available on office number and via text on 07814 358 882 during office hours.,"DV, SV",Tŷ Aurora,59 King Street,Wrexham,LL11 1HR,info@steppingstonesnorthwales.co.uk,01978 352 717,info@livefearfreehelpline.wales,0808 80 10 800,https://steppingstonesnorthwales.co.uk/,Wales,NWP,24/01/2022
Domestic Abuse Safety Unit (DASU),Provide free and confidential support services to any adult who has or is experiencing domestic abuse in North Wales. Apears to Various contact numbers across North Wales: Flintshire (01244 830436); Rhyl (01745 337104); Wrexham (01978 310203); Colwyn Bay (01492 534705); Denbigh (01745 337104).,"DV, SV",104 Chester Road East,Shotton,Deeside,CH5 1QD,NA,01244 830 436,NA,NA,https://dasunorthwales.co.uk/,Wales,NWP,24/01/2022
Aberconwy Domestic Abuse Service,Supporting victims of domestic abuse with refuge provision for women and children,"DV, SV, Women",Heulwen/Glyn y Marl Rd,Llandudno Junction,,LL31 9NS,aberconwydas@btconnect.com,01492 872 992,NA,NA,https://www.aberconwydomesticabuseservice.com/,Wales,NWP,24/01/2022
North Denbighshire Domestic Abuse Service (Rhyl),Offers support and refuge to women who have experienced or are at risk of domestic abuse.,"DV, SV",NA,NA,NA,NA,NA,01745 345 444,NA,NA,NA,Wales,NWP,24/01/2022
The North Wales Womens Centre,"A safe place for women to access information relating to health, Wellbeing and work. Offer free councelling and one-to-one advice and support through a team of case workers on the many issues that a woman can face. These include accommodation; children, families and relationships; domestic abuse; drugs and alcohol; finance, benefits and debt; health, skills and training. ","DV, SV, Women",46 – 54 Water Street,Rhyl,Denbighshire,LL18 1SS,NA,01745 339 331,NA,NA,https://northwaleswomenscentre.com/,Wales,NWP,24/01/2022
BAWSO Ltd.,"Support for Black and Ethnic Minority women and children who are affected by abuse, violence and explotation. Services include general advice and support, accomodation support, community and outreach, services for children and young people, modern slavery support, therapeutic interventions. Helpline is 24/7.","DV, SV, BAME, YP","Unit 4, Sovereign Quay",Havannah Street,Cardiff,CF10 5SF,info@bawso.org.uk,029 20644 633,info@bawso.org.uk,0800 7318147,https://bawso.org.uk/,Wales,"DPP, GP, NWP, SWP",24/01/2022
Hafan Cymru,"Housing support services to women, men and children escaping domestic abuse. Support offered for a wide range of needs – including support for inidividuals/families who are homeless, have experienced domestic abuse (including physical, sexual or psychological abuse), are recovering their mental health, individuals with substance misuse issues and ex-offenders. Hafan are also a provider of social housing and has local offices across Wales.","DV, SV, Housing, DA, MH, PFS",Hafan Cymru Head Office,Stephens Way Pensarn,Carmarthen,SA31 2BG,enquiries@hafancymru.co.uk,01267 225 555,NA,NA,https://hafancymru.co.uk/,Wales,"DPP, GP, NWP, SWP",24/01/2022
Gorwel – Grwp Cynefin,"Gorwel is a Business Unit within Grŵp Cynefin (a Housing Association which operates in North Wales and North Powys). Gorwel provides a range of support services for older people and people affected by domestic abuse and homelessness. Gorwel‘s projects include refuges, supported housing schemes, children and young people services, support in the community and independent domestic violence advisory service. Phone line supported during normal working hours, after which the number goes through to an on-call service.","DV, SV, OP, YP, FFI",NA,NA,NA,NA,post@grwpcynefin.org,0300 111 2122,gorwel@gorwel.org,0300 111 2122,https://www.grwpcynefin.org/en/eich-cymuned/gorwel/,Wales,NWP,24/01/2022
